,,Number of,,Runtime (in sec.),,Generation time (in sec.),,,Generation Time % of Total Runtime,,,Number of test orders run,,
ID,Module,Tests,Test Classes,Test Suite,Overhead,TuscanIC,Pairwise,TuscanE,TuscanIC,Pairwise,TuscanE,Prior work [10],Pairwise,TuscanE
M11-4,integration-test-3_7,6,1,0.51,11.84,0.57,0.00,0.14,4.59,0.01,1.12,6,30,6
M7-4,dubbo-filter-cache,9,5,2.96,1.66,0.57,0.01,0.14,12.34,0.14,3.09,70,72,33
M21,spring-data-envers,10,4,0.60,3.88,1.31,0.22,0.12,29.24,5.01,2.62,58,90,42
M5,cukes-http,14,4,0.76,1.44,0.67,0.00,0.15,30.52,0.15,6.70,122,182,86
M3,c2mon-server-elasticsearch,19,11,10.27,13.94,0.67,0.01,0.16,2.77,0.04,0.64,312,342,96
M7-7,dubbo-serialization-fst,21,4,0.30,1.38,0.62,0.01,0.16,36.67,0.46,9.26,224,420,151
M11-2,integration-test-2_2,23,4,1.92,13.95,0.74,0.01,0.16,4.63,0.07,0.98,382,506,197
M25-2,wdtk-util,23,5,0.46,1.33,2.03,0.12,0.13,113.42,6.55,7.43,492,506,176
M11-3,integration-test-3_10,24,3,0.82,11.49,0.72,0.01,0.16,5.86,0.08,1.29,316,552,232
M23-2,subsystem,25,10,3.76,2.33,2.06,0.07,0.13,33.89,1.22,2.13,554,600,116
M18,riptide-spring-boot-starter,40,25,1.47,6.85,1.64,0.20,0.15,19.67,2.44,1.80,"1,512","1,560",243
M2,aismessages,44,18,0.16,1.08,1.46,0.03,0.16,117.35,2.70,12.59,"1,788","1,892",349
M1,activiti-spring-boot-starter,45,11,0.50,5.51,0.80,0.04,0.15,13.30,0.61,2.46,"1,794","1,980",436
M20,spring-data-ebean,48,2,0.30,3.17,0.76,0.00,0.19,21.85,0.12,5.52,574,"2,256",608
M25-1,wdtk-dumpfiles,50,9,2.59,4.30,1.54,0.01,0.17,22.34,0.13,2.49,"2,116","2,450",721
M12,jhipster-registry,53,14,1.49,8.63,0.94,0.05,0.18,9.30,0.51,1.78,"2,572","2,756",453
M7-5,dubbo-rpc-api,60,23,3.75,1.51,0.98,0.06,0.20,18.71,1.18,3.86,"3,386","3,540",566
M17,portlet,61,12,1.17,1.65,1.03,0.09,0.22,36.54,3.09,7.88,"3,306","3,660",836
M9-2,hadoop-hdfs-nfs,64,12,43.88,6.35,0.96,0.08,0.23,1.90,0.16,0.47,"3,330","4,032","1,544"
M7-6,dubbo-rpc-dubbo,74,16,159.64,41.40,1.16,0.10,0.24,0.58,0.05,0.12,"5,036","5,402",954
M6,dropwizard-logging,80,18,3.76,2.14,1.28,0.11,0.29,21.74,1.86,4.94,"5,640","6,320","1,840"
M23-1,naming,82,11,1.27,2.26,3.12,0.18,0.27,88.27,5.00,7.58,"5,712","6,642","2,275"
M7-1,dubbo-cluster,112,23,3.99,1.81,2.28,0.24,0.37,39.34,4.15,6.45,"11,244","12,432","3,687"
M22-2,spring-ws-security,122,43,1.24,1.91,6.04,0.01,0.24,191.78,0.41,7.62,"14,452","14,762","1,028"
M9-1,hadoop-auth,125,22,100.03,4.10,3.01,0.27,0.35,2.89,0.26,0.33,"14,270","15,500","3,822"
M13,lib,163,2,0.23,1.34,0.92,0.18,0.22,58.42,11.41,13.85,644,"26,406",803
M9-5,hadoop-mapreduce-client-hs,206,26,68.45,8.06,11.76,0.36,0.63,15.37,0.47,0.82,"39,500","42,230","9,314"
M11-1,integration-test-2_1,233,40,18.95,18.38,12.55,0.56,0.86,33.62,1.50,2.29,"50,658","54,056","13,158"
M19-4,spring-boot-test-autoconfigure,234,103,3.03,59.40,50.91,0.04,0.73,81.55,0.07,1.17,"53,474","54,522","7,436"
M10,hsac-fitnesse-fixtures,251,49,7.30,3.73,14.20,0.72,0.83,128.65,6.55,7.50,"60,816","62,750","8,874"
M7-3,dubbo-config-api,263,23,4.92,2.24,13.65,0.33,0.83,190.84,4.54,11.62,"64,268","68,906","13,898"
M24,unix4j-command,290,30,4.38,0.89,48.02,0.05,0.86,910.84,0.88,16.31,"79,464","83,810","14,716"
M9-4,hadoop-mapreduce-client-core,293,60,78.91,5.09,28.52,0.54,1.11,33.95,0.64,1.32,"82,814","85,556","17,963"
M4-2,request,325,49,289.13,8.59,208.81,1.40,1.02,70.13,0.47,0.34,"101,578","105,300","16,488"
M9-3,hadoop-mapreduce-client-app,394,49,289.48,16.00,61.79,1.08,1.51,20.23,0.35,0.49,"148,542","154,842","29,113"
M4-1,compute,488,74,143.17,4.40,521.43,1.20,1.71,353.35,0.81,1.16,"232,368","237,656","26,047"
M8,elastic-job-lite-core,511,98,32.09,63.48,137.45,1.67,1.91,143.81,1.75,2.00,"256,130","260,610","24,543"
M7-2,dubbo-common,520,70,31.76,1.62,112.25,1.46,2.65,336.26,4.37,7.95,"261,418","269,880","47,570"
M16,org.wso2.carbon.apimgt.core,530,46,76.11,8.44,616.40,0.07,4.80,729.07,0.08,5.68,"237,882","280,370","124,038"
M19-3,spring-boot-test,721,115,2.32,12.89,"1,764.98",3.97,8.10,11603.89,26.13,53.26,"472,332","519,120","171,692"
M19-2,spring-boot-actuator-autoconfigure,733,166,24.13,13.57,"1,997.08",1.59,3.88,5297.14,4.22,10.28,"531,042","536,556","49,176"
M26,wro4j-core,851,137,9.58,1.12,"2,424.08",1.61,4.30,22654.36,15.07,40.20,"713,822","723,350","62,799"
M14,marine-api,926,71,0.63,1.44,"1,089.97",0.62,3.27,52439.24,29.86,157.50,"841,810","856,550","50,713"
M22-1,spring-ws-core,971,145,8.12,5.70,"3,216.01",0.26,4.54,23269.04,1.89,32.81,"932,108","941,870","56,014"
M15,openpojo,"1,185",213,11.69,2.80,"6,566.07",2.22,6.84,45298.68,15.31,47.17,"1,392,896","1,403,040","86,223"
M19-1,spring-boot,"2,255",230,27.85,13.27,"23,625.56",13.03,50.43,57450.60,31.69,122.62,"5,015,642","5,082,770","612,663"
,,,,,,,,Avg,36.60,1.03,4.40,,,
,,,,,,,,Median,36.60,1.03,4.40,,,
,,,,,,,,Max,57450.60,31.69,157.50,,,
,,,,,,,,Min,0.58,0.01,0.12,,,